oaID,OA21CD,GlobalID,lsoaID,lsoa21cd,lsoa21nm,msoaID,msoa21cd,msoa21nm,ladcd,ladnm,households,population,CHR,EYA,EE,EDU,FIN,FR,PHC,POS,RSPF,SER,SCL,totEmp_poiWeight,wpPop,wpPop_scaled2LsoaJob,primaryEdu,secondaryEdu,higherEdu,urbanType,popCentroid_x,popCentroid_y,LSOA11CD,imd10
1,E00024141,af389e7d-70e5-4a7f-b0e0-06bff4d368b6,6,E01004771,Bolton 003C,1,E02000986,Bolton 003,E08000001,Bolton,133,366,0,9.948332474,0.188296745,0,0.159639007,1.701695287,0,0.91513551,0.146634177,0,0,12.14459769,20,32,0,0,0,1,371389.524,412660.724,E01004771,10
2,E00175986,e72eb9f0-a17a-4fb3-8a06-1f884154daaa,1631,E01033682,Manchester 060C,2,E02006917,Manchester 060,E08000003,Manchester,94,127,0,0,0.806802044,0,0.159639007,0,18.83543116,0.708126666,0,2.699290134,10.39513335,32.8962957,329,2015,0,0,0,1,383366.387,397853.617,E01033682,6
3,E00028611,89226306-afd3-472b-b3ce-20020b64456f,837,E01005648,Salford 011B,3,E02001167,Salford 011,E08000006,Salford,136,291,0,0,0,0,0,0,0,0,0,0,0,0,22,59,0,0,0,1,381970.728,401900.591,E01005648,5
4,E00025304,c3945505-bb79-432b-bc8a-17ab8afd4eef,239,E01005006,Bury 012D,4,E02001030,Bury 012,E08000002,Bury,145,355,0,0,3.510743521,0,0.159639007,1.729333029,0,0,0,0,0,5.399715557,9,52,0,0,0,1,377245.921,410351.864,E01005006,4
5,E00028201,ada1a400-60af-40b6-994c-83de9cee4f54,769,E01005574,Rochdale 007D,5,E02001138,Rochdale 007,E08000005,Rochdale,136,333,0,0,0,0,0,0,0,1.97575629,0,0,0,0,4,9,0,0,0,1,386316.326,413651.874,E01005574,8
6,E00031888,9ca37a34-44f3-4bee-9532-aeba731adedf,1464,E01006288,Wigan 025A,6,E02001311,Wigan 025,E08000010,Wigan,136,264,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,1,369149.174,402932.812,E01006288,1
7,E00025017,f9c71953-1a4d-4e82-9890-e8970919eb7b,175,E01004942,Bury 021B,7,E02001039,Bury 021,E08000002,Bury,119,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,381051.717,405615.643,E01004942,1
8,E00181637,04dc3514-31a9-4081-8ffb-210d39aab29b,807,E01005618,Salford 030C,8,E02001186,Salford 030,E08000006,Salford,79,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,371335.009,392064.057,E01005618,3
9,E00025745,cbe7d6e5-486b-42c5-950d-f0941f529e3a,317,E01005087,Manchester 050A,9,E02001094,Manchester 050,E08000003,Manchester,169,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,382513.372,388131.826,E01005087,1
10,E00029883,cc6b792c-eb09-437f-b18a-15aa6bf6e8b8,1081,E01005903,Stockport 010D,10,E02001196,Stockport 010,E08000007,Stockport,127,331,0,0,0,0,0,0,0,0.962516596,0,0,0,0,3,5,0,0,0,1,394782.15,391182.516,E01005903,10
11,E00028720,8fb3ddc6-080d-4325-8f60-9c04682db175,862,E01005679,Salford 008D,11,E02001164,Salford 008,E08000006,Salford,142,327,0,32.80796888,0.575192698,0,0.159639007,0.527310579,0,0.813567613,0.090743179,0,1.807737658,35.968592,32,90,0,0,0,1,378564.449,402682.757,E01005679,1
12,E00028838,ff7ce3aa-baf2-4d78-92ba-381ec44fa583,882,E01005701,Salford 015D,12,E02001171,Salford 015,E08000006,Salford,194,475,0,20.19126249,0,0,0,1.837251833,2.875575449,0,0.222501425,3.365863562,0,28.49245476,18,81,0,0,0,1,379116.196,400973.54,E01005701,7
13,E00026965,f7692881-c417-4aed-9087-90ec1f37abec,530,E01005325,Oldham 029D,13,E02001126,Oldham 029,E08000004,Oldham,101,268,0,0,0,0,0,0,72.52479209,0,0,0,0,72.52479209,35,35,0,0,0,1,393661.772,402827.854,E01005325,1
14,E00032379,5290c17f-4cd9-4334-ad9a-b0388264bff9,1567,E01006391,Wigan 007D,14,E02001293,Wigan 007,E08000010,Wigan,119,309,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,359586.232,406498.533,E01006391,5
